experience_level,job_title,salary_in_usd,employee_residence,remote_ratio
SE,Data Scientist,85847,ES,100
SE,Data Scientist,175000,CA,100
SE,Data Scientist,120000,CA,100
SE,Research Scientist,222200,US,0
SE,Research Scientist,136000,US,0
SE,Data Scientist,219000,CA,0
SE,Data Scientist,141000,CA,0
SE,Data Scientist,147100,US,0
SE,Data Scientist,90700,US,0
SE,Data Analyst,130000,US,100
SE,Data Analyst,100000,US,100
EN,Research Scientist,213660,US,0
EN,Research Scientist,130760,US,0
SE,Data Modeler,147100,US,0
SE,Data Modeler,90700,US,0
SE,Data Scientist,170000,US,0
SE,Data Scientist,150000,US,0
MI,Data Analyst,150000,US,100
MI,Data Analyst,110000,US,100
SE,Research Engineer,275000,DE,0
SE,Research Engineer,174000,DE,0
SE,Analytics Engineer,230000,GB,100
SE,Analytics Engineer,143200,GB,100
SE,Business Intelligence Engineer,225000,US,0
SE,Business Intelligence Engineer,156400,US,0
SE,Machine Learning Engineer,200000,US,0
SE,Machine Learning Engineer,130000,US,0
SE,Data Strategist,90000,CA,0
SE,Data Strategist,72000,CA,0
SE,Data Engineer,253200,US,0
SE,Data Engineer,90700,US,0
SE,Computer Vision Engineer,342810,US,0
SE,Computer Vision Engineer,184590,US,0
MI,Data Engineer,162500,US,0
MI,Data Engineer,130000,US,0
MI,Data Analyst,105380,US,0
MI,Data Analyst,64500,US,0
EN,Data Analyst,100000,NG,100
EN,Data Analyst,30000,NG,100
MI,Machine Learning Engineer,20984,IN,50
EN,Research Scientist,204620,US,0
EN,Research Scientist,110680,US,0
SE,Data Engineer,270703,US,0
SE,Data Engineer,221484,US,0
SE,Data Scientist,212750,US,100
SE,Data Scientist,185000,US,100
SE,Data Scientist,262000,US,100
SE,Data Scientist,245000,US,100
SE,Data Scientist,275300,US,100
SE,Data Scientist,183500,US,100
SE,Data Scientist,218500,US,100
SE,Data Scientist,199098,US,100
SE,Data Engineer,203300,US,100
SE,Data Engineer,123600,US,100
SE,Research Engineer,189110,US,0
SE,Research Engineer,139000,US,0
EX,Data Scientist,258750,US,0
EX,Data Scientist,185000,US,0
SE,Data Engineer,231500,US,100
SE,Data Engineer,166000,US,100
SE,Data Scientist,172500,US,100
SE,Data Scientist,110500,US,100
SE,Data Engineer,238000,US,0
SE,Data Engineer,176000,US,0
SE,Data Engineer,237000,US,100
SE,Data Engineer,201450,US,100
SE,Research Scientist,309400,US,0
SE,Research Scientist,159100,US,0
SE,Data Engineer,115000,US,0
SE,Data Engineer,81500,US,0
SE,Data Scientist,237000,US,100
SE,Data Scientist,201450,US,100
SE,Computer Vision Engineer,280000,US,0
SE,Computer Vision Engineer,210000,US,0
SE,Data Architect,280100,US,100
SE,Data Architect,168100,US,100
SE,Data Engineer,193500,US,100
SE,Data Engineer,139000,US,100
MI,Data Scientist,65062,HK,0
SE,Machine Learning Engineer,150000,PT,100
MI,Machine Learning Engineer,69751,IN,100
EN,AI Programmer,300000,IN,50
MI,Machine Learning Engineer,96578,NL,100
SE,Business Intelligence Engineer,185900,US,0
SE,Business Intelligence Engineer,129300,US,0
SE,Data Engineer,225000,US,100
SE,Data Engineer,175000,US,100
SE,Data Engineer,185000,US,0
SE,Data Engineer,140000,US,0
SE,Data Scientist,48289,ES,0
SE,Data Scientist,38631,ES,0
SE,Data Scientist,105000,US,0
SE,Data Scientist,70000,US,0
EN,Machine Learning Engineer,163196,US,0
EN,Machine Learning Engineer,145885,US,0
SE,Data Engineer,217000,US,100
SE,Data Engineer,185000,US,100
SE,Data Analyst,202800,US,0
SE,Data Analyst,104300,US,0
SE,Data Analyst,145000,US,0
SE,Data Analyst,65000,US,0
SE,Data Engineer,165000,US,0
SE,Data Engineer,132300,US,0
SE,Data Engineer,179170,US,0
SE,Data Engineer,94300,US,0
SE,Analytics Engineer,152500,US,0
SE,Analytics Engineer,116450,US,0
SE,Data Engineer,247300,US,0
SE,Data Engineer,133800,US,0
SE,Research Engineer,203000,US,0
SE,Research Engineer,133000,US,0
EN,Research Scientist,220000,US,50
EN,Machine Learning Engineer,56536,CH,100
SE,Data Scientist,150000,US,0
SE,Data Scientist,120000,US,0
SE,Analytics Engineer,289800,US,0
